English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
collenchyma;;izinhlayiyakuzimelela;
commercial crops  ;;izitshalo zokuhweba;
complementary bases;;izizinda ezisebenzisanayo;
complete metamorphosis;;inguqukokukhula ephelele;
connective tissue;;isicubu esihlanganisayo;
contraction;;ukufingqeka;
control;;isiqhathanisi;
courtship behavior;;ukushelana/ukuqomisana;
covalent bond;;ukuxhumana ngokwabelana ngama-elekhthroni;
cross-over;;ukunikezelana ngofuzo;
cross pollination  ;;ukuqholana kwezimbali;
cytokinesis;;ukwehlukana kwenhlayiya;
cuticle;; isidambisimhwamuko;
cyclic behavior;;ukuziphatha okuyinzungezompinda;
cytoplasm;;ubindiza lwenhlayiya;
day neutral plant;;isitshalo esiwumaqhakaza ebusuku;
deletion;;ukuphela kwesithwalafuzo;
denaturation;;insusobumvelo;
dendrite;;isithwalambiko esiyisihlekehleke;
denitrification  ;;ukuncishiswa kwenayithrojini;
deforestation;;ukuceka amahlathi;
dermis;;isikhumba;
desertification;;ukugwaduleka;
diaphragm;;untu;
diastolic pressure;;umfutho wegazi eliphindela enhliziyweni;
dicotyledon;;ungcezumbili;
digestion;;ukugayeka kokudla;
digestive system;;uhlelo lokugayeka kokudla;
diversity;;ukwehlukahlukana;
dna coding;;uhlelokwakha lolibofuzo lwamaphrotheyni;
DNA fingerprinting;;ukuhlonza ulibofuzo ngamanyela;
DNA profiling;;ukuhlonza ngolibofuzo;
DNA replication;;ukuphindaphindeka kolibofuzo;
DNA sequencing;;ukulandelana kwezingxenyana zolibofuzo;
dislocation;;ukuklunyuka;
dominant;;okuvelele;
double helix;;ukusonteka kolibofuzo;
duplication;;ukuphindaphinda;
ecology;;isayensi yenhlaliswanobudlelwano;
ecological succession;;ukulandelana kwenhlaliswanobudlelwano;
ectoderm;;insukelasikhumba;
egg;;iqanda;
egestion;;ukunya/ ukubhosha/ ukukaka;
electron donor;;okunikela nge-elekthroni;
embryo;;umbungwana;
endangered species;;okusengcupheni yokushabalala;
endemism;;okwakuleyo ndawo kuphela;
epidemic;;umbhedukazwe;
epidermis  ;;isikhumba esingaphandle;
epiglottis;;ugovane;
eosophagus;;umminzo;
estivation;;ukuquba;
estrogen;;isigqa sabesifazane;
excretion;;ukuphuma kokungcola emzimbeni;
exhalation (exhale);;ukukhipha umoya;
extension;;ukwelula/ukuqondisa;
fallopian tube;;umgudu wamaqanda;
fats;;amafutha;
feaces;;amasimba/uthuvi/amakaka;
fermentation;;ukubilisa;
fermented beverage;;isiphuzo esibilile;
fertilization;;ulumbanombewu;
foetus;;umbungu;
fin;;isigwedlo senhlanzi;
fission;;ukwanda ngokuzicaza;
flagellum;;umlenzana;
flexor;;ukugoba;
food chain;;umjikelezokudlana kwezilwane;
food pyramid;;iphiramidi yokudla;
food web;;ubulwembu  bokudla;
fossil fuel;;amandla endulu;
fracture;;ukuvaveka;
free living organism;;umaziphilela;
frond;;iqabunga lesikhomakhoma;
fruit;;isithelo;
gametophyte;;izinhlayiya zolibofuzo ezingaphakathi;
gene;;ufuzo;
gaseous exchange;;ukushintshana komoya;
genetics;;isifundo ngolibofuzo;
genome;;iqoqozinhlayiya zolibofuzo;
genotype;;ulibofuzo lokuphilayo;
geotropism;;ukukhula ngokushona phansi;
gestation;;ukukhulelwa/ukumitha;
gill;;isiphefumulo;
gill slits;;izimbobo zokuphefumula;
gizzard;;ingingila/ingisha;
gliding joint;;ilungakugudlana;
global warming;;isivuvu somhlaba;
greenhouse effect;;umthelelasivuvu somhlaba;
haemophilia  ;;isifo sokopha/umopho;
herbaceous plant;;ikhambi;
heredity;;ukufuza;
heterozygous;;ufuzongxube lokuvelele nokungavelele;
hinge joint;;ilunga eliyingibe;
homeostasis;;usimamisoluzinzo lobunjalomzimba;
homologous;;okufanayo;
homo sapien;;umuntu wasendulondulo;
homozygous;;ufuzo lokuvelele noma lokungavelele;
hormone;;isigqa;
heterosporous;;isimila esinguncukumbili;
host cell;;inhlayiya engumgcini;
human genome;;iqoqonhlayiya lofuzo lomuntu;
hybrid;;uhlobongxube;
hydrogen bond;;isihlanganiso sehayidrojini;
hypothalamus;;ingxenyebuchopho engaphambili;
immoveable joint;;ilunga elinganyakaziseki;
Immune system;;uhlelokukhiqiza amasosha omzimba/ isikhiqizamasosha;
immunity;;uvikelomzimba ezifweni;
imprinting;;ukukhulisela;
incomplete dominance;;ukuvelela okungaphelele;
incomplete metarmorphosis;;inguqukokukhula engaphelele;
incubate;;ukufukamela;
incubation period;;isikhathi sokufukamela;
inhalation (inhale);;ukudonsa umoya;
innate behavior;;ozalwe nakho;
interneuron;;isixhumanisimizwa;
interspecific competition;;ukuncintisana kokwehlukile;
intraspecific competition;;ukuncintisana kokufanayo;
invasive alien species;;uhlobokufika olungumaqonela;
invasive alien plant;;isitshalokufika esingumaqonela;
inversion  ;;impindelamuva;
involuntary muscle;;isicubu esizisebenzelayo;
joint;;ilunga;
karyotype;;ukuhleleka kwezithwalilibofuzo;
kidney;;inso;
large intestine;;upopopo;
larynx;;igilo;
ligament;;umsipha oyisixhumanisa amathambo;
lignin;;inhlayiya eyisilekeleli siqinisi/ iliginini;
limiting factor;;okunqindayo;
liver;;isibindi;
living fossil;;indulu engaguqukile;
long day plant;;umaqhakazemini;
lung;;iphaphu;
lymph;;okusamanzi emzimbeni;
lymph node;;isigaxana sokusamanzi emzimbeni ;
lymphatic system;;uhlelokusebenza lokusamanzi emzimbeni;
marrow;;umnkantsha;
mass extinctions;;ukushabalala ngobuningi;
mechanical digestion;;ukugaywa kokudla izicubu;
medulla;;isijungujungu;
meiosis;;indabulakane/imeyosisi;
melanin;;imvikelambala/ isinikambala;
menstrual cycle  ;;izigaba zokuya esikhathini;
menstruation;;ukuba sesikhathini;
metarmorphosis;;inguqukokukhula/ inguqukosimo/ inguqukompilo;
micro-organisms;;okuncu okubonakala ngesibonakhulu ;
mineral;;isakhampilo/ umsimbimpilo/ iminerali;
mitosis;;indabukakabili;
monohybrid crosses;;uhlobongxubelunye/ uhlobongxube olugqamisa okukodwa;
motor neuron;;isibuyisamyalezo ;
multiple allele;;inhlayiyalibofuzo ephindaphindekile;
muscle;;isicubu;
mutation;;inguqukolibofuzo;
mutualism;;impilakusizana ;
mutualistic relationship;;ubudlelwano obunempilakusizana;
negative phototropism;;okungabheki ngasekukhanyeni;
nerve cord;;intambomuzwa;
nerve impulse;;umbikomuzwa;
natural immunity;;isivikelakugula  ngokwemvelo;
natural selection;;isivikelakugula ngokemvelo;
nerve tissue;;isicubu somuzwa;
nervous system;;uhlelokusebenza lwemizwa;
neuron;;isixha sezidlulisamyalezo/ inyuroni;
neurotransmitter;;isidlulisamizwa;
nitrogen fixation;;ukugcinwa kwenayithrojini;
nitrification;;ukufakwa kwamanithro ;
non-coding DNA;;ulibofuzo olungenahlelokwakha amaphrotheyni;
nutrients;;izondlamzimba/izinikamsoco;
occipital lobe;;ubuchopho obusesiphundu;
olfactory cell;;inhlayiyakuhogela;
organelle;;isithwana;
ovary;;isizalo;
omnivorous;;isidlakonke ;
osmoregulation;;ukulawulasidadada sikasawoti;
overgrazing;;ukuklabisa ngokweqile;
ovulation;;ukudedelwa kweqanda;
ozone depletion;;uncipho lwe-ozoni;
paleoanthropologist  ;;usosayensi ofunda ngezindulu ;
palindrome  ;;umafundwanxazonke;
pancreas  ;;amanyikwe;
paralysis  ;;ukugogeka;
parathyroid;;indlala elawula ikhalisiyamu;
parasite;;impilangenye/ impilangokunye;
parasitism;;ukuphila ngokunye;
parasitoid;;impilangenye/ impilangokunye ebulalayo;
parasitology   ;;isifundo ngezimpilangenye/ ngezimpilangokunye;
parenchyma cell;;inhlayiya enguqunguqu;
parthenogenesis;;impumaqandeni elingavundisiwe;
parthenogenetic;;okwempumaqandeni elingavundisiwe;
partial dominance;;okuvelela kungaphelele;
partially fertile;;imbasha/ utondo;
parturition;;ukubeletha/ ukuzala;
passive immunity;;uvikelokugula lwesikhashana;
passive transport;;isihambisamsoco esingadingi isikhuthazi;
pasteurization;;ukubulala amagciwane ngokuka- Pasteur;
pathogen;;indalasifo;
pathogenesis;;ukudaleka kwesifo;
pathology  ;;isifundo ngezifo;
pedigree;;uhlaka lolibo;
pelvis;;unkimfi;
penetrance;;ukudluliswa kokufana ngokolibofuzo;
penis;;umpipi/ umthondo/ ubolo;
pepsin;;iphephsini;
peptide bond;;isixhumanisi sesakhimaphrotheyni;
pericarp  ;;isivikelasithwalimbewu ;
pericarditis  ;;ukuvuvukala kwesivikelanhliziyo;
pericardium;;isivikelanhliziyo;
peristalsis;;ukuhamba kokudla;
phenetics  ;;ifenethiksi;
phenocopy;;isingafuzo ;
phenology  ;;isifundo ngezigameko kokwemvelo;
phenologist;;usosayensi ofunda ngezigameko kokwemvelo;
phenotype;;inswebu;
photoreceptor;;isimukelakukhanya;
photosynthesis;;ukwakhiwa kwesitashi esitshalweni/ esimileni;
phototropism;;ukudonsekela ekukhanyeni;
pituitary gland;;indlala ewumalawulazonke ;
pivotal joint;;ilunga elizungelezayo;
placenta;;1. umzanyana 2. umhlapho;
plankton;;iplankthoni ;
plasma;;uketshezana olumthushana egazini;
plastid;;iplastidi;
platelets;;isishubisigazi ;
pleura  ;;untwentwesi lwephaphu;
pollen;;impova;
pollen grain;;uhlamvu lwempova;
pollen sac;;isakhelampova;
pollen tube  ;;umgudu wempova;
pollination;;ukuqholeka ;
pollution;;ukunukubezeka/ ukungcoliseka;
"polygenic inheritance (multifactorial inheritance; quantitative inheritance)";;iqoqafuzo;
sweat pore;;imbobo yomjuluko;
positive phototropism;;okudonsekela ekukhanyeni;
predation;;ukuhlasela izilwane;
predator;;inhlaselasilwane/ indlasilwane ;
prey  ;;umdliwa/ umhlaselwa;
primary succession;;ingqalisakulandelana kwenhlaliswanobudlelwano;
probiotics;;insizamgcini;
prosthesis;;isingasitho;
proteins;;amaphrotheyni;
protein synthesis;;ukwakhiwa kwamaphrotheyni;
prothallus;;iphrothalasi;
pseudopodium;;isinganyawo;
pulse;;ukushaya kwenhliziyo;
punctuated equilibrium;;inguqukomvelo;
purine;;iphyurini;
pyrimidine;;iphiramidini;
quaternary structure;;ukuhlukana kwezakhamzimba;
quintipara;;inzalakahlanu;
quintuplet;;iwelenhlanu;
radicle;;impandemsuka;
radial symmetry;;inhlukanakabili kufane eyindilinga;
radiation  ;;imisebe;
radioactive;;okuyisikhiphamisebe;
radiobiology;;isifundo ngemithelela yemisebe;
radula;;okusalimi esiswini;
random genetic drift;;ukushushumba kolibofuzo okungahleliwe;
random mating;;ukukhwelana okungahleliwe;
receptor;;isamukeli;
recessive;;uphawu olungavelele;
rectum;;umtshazo;
red blood cells;;inhlayiya yegazi ebomvu;
reflex action;;okuzenzakalelayo;
reflex arc;;umgudu womuzwa;
reproduction or (procreation or breeding);;ukuzalana ;
respiration;;1. ukukhiqizeka kwamandla 2. ukuphefumula;
response;;impendulosenzo;
rhizoid;;isingampande;
rod cell;;inhlayiyakubona ngecala;
salivary gland;;indlala yamathe;
scrotum;;isikhwama samasende;
secondary succession;;inhlaliswanobudlelwano emva kwesigameko;
seed;;imbewu;
self-pollination  ;;ukuziqhola kwembali ;
semen;;icena;
sensory neuron;;isithumelamyalezo;
septum;;ulwebu oluhlukanisa amagumbi enhliziyo;
sex chromosome;;isithwalafuzo sobulili;
sex-linked disorder.;;ukukhubazeka ngokofuzo;
sex-linked trait;;uphawufuzo ;
skeletal muscle;;isicubu sohlakamathambo;
small intestine;;ithumbu elincane;
smooth muscle;;isicubu esibushelelezi;
somatic cell;;inhlayiya ejwayelekile;
somatic doubling;;ukuphindeka kwenhlayiya ejwayelekile;
species;;uhlobo ;
sperm;;isidoda;
spermatid;;isakhisidoda;
spermatogenesis;;ukukhiqizwa kwesidoda;
spermatogonium;;isizindanhlayiya sesidoda;
spermiogenesis;;ukuvuthwa kwesidoda;
spinal cord;;umfunkulu;
sprain;;isenyelo/ isilalo;
spores;;imbewu yezitshalo ezingaqhakazi;
sporophyte;;isikhiphambewu sezitshalo ezingaqhakazi;
 stimulus;;imbangelasisusa;
stinging cell;;inhlayiyadosi;
stomach;;isisu;
substitution;;intathandawo/ imelasikhundleni;
substrate;;isizindakudlela;
succession;;ukulandelana;
sweat gland;;indlala yomjuluko;
symbiosis;;ubudlelwanokusizana;
sympathetic nervous system;;insizahlelomizwa;
synapse;;isikhalakudlulisamyalezo;
synapsis;;ukuxhumana kwezithwalifuzongqo;
synaptic terminal;;isikhumulo semizwa;
syndrome;;ingxubezimpawu yesifo;
system;;uhlelokusebenza ;
systemic circulation;;uhlelokuhambisa igazi ;
systolic pressure;;umfutho wegazi elisuka enhlizyweni;
tap root;;impande enemixhantela;
taste bud;;inzwakunambitha;
tendon;;umsipha oyisinyakazisimathambo;
testa;;isivikelambewu;
testis (pl. testes);;isende;
testosterone;;isigqa sabesilisa;
terrestrial;;okuphila emhlabeni;
thallus;;ithalasi;
tissue;;isicubu;
thymus;;isikhiqizizivimbelakugula/isikhiqizizivimbelazifo;
thyroid gland;;isikhiqizizigqa zokukhula;
trachea;;uqhoqhoqho;
trait;;uphawufuzo ;
transcription (DNA);;ukudlulisa (DNA);
transcytosis;;ukuhamba kwezinhlayiya;
transduction;;ukunikezelana ngofuzo;
transfection;;ukuthelelana kolibofuzo;
transformant;;inhlayiya ethelelekile;
transformation;;1. inguquko yeqoqozinhlayiya zofuzo 2. inguquko yezinhlayiyangqo;
transgenic animal;;isilwane esenziwe ngengxubelibofuzo ;
translation (DNA)  ;;uhlelo lokwakhiwa kwezakhamzimba;
translocation;;ukubekwa kwenye ingxenye ;
transcription-mRNA;;ukudluliselwa komyalezo (mRNA);
transpiration;;ukuhwamuka;
tropism;;ukudonsekela;
umbilical cord;;inkaba/ inongwane;
universal donor;;umnikeligazi jikelele;
universal recipient;;umamukeligazi jikelele;
ureter;;umgudu womchamo;
urethra;;isikhiphamchamo/ isikhiphacena;
urinary bladder;;isinye;
urinary system;;uhlelomgudu lokuchama;
urine;;umchamo;
uterus;;isibeletho;
vaccine;;umgomo;
vagina;;ingquthu/ igolo;
valve;;uvulavale;
variable;;ivariyebuli;
variegation;;iqabunga elimabalabala;
vector;;isihambisi;
vegetative propagation;;ukutshala ngokugxumeka ;
vein;;umthambo wegazi elingcolile;
ventral horn;;isedlulisamizwa yokunyakaza;
ventricle;;ingezansi lenhliziyo ;
vertebrate;;ithambo lomgogodla;
vesicle;;iqhuqhuva;
viability;;okusesimweni sokwenzeka;
villus;;isimuncamsoco;
vinification;;ukubiliseka kwewayini;
viviparous;;okuzalayo;
virus;;igciwane;
vitamin;;ivithamini;
white blood cell;;inhlayiya yegazi emhlophe;
windpipe (see trachea);;uqhoqhoqho;
 wobble;;iwabuli;
x- chromosome;;isithwalafuzo u-x;
x-linkage;;isixhumanisi u-x;
 xenobiotic;;ukungena kwegciwane elinobungozi;
 xenograft;;ukufakelwa kwesicubu solunye uhlobo;
 xenoplastic transplantation;; uhlelokufakwa kwesicubu solunye uhlobo;
 xylem;;isithwalamanzi esitshalweni;
 y-chromosome;;isithwalafuzo u-Y;
 y-linkage;;isixhumanisi u-Y;
 zoo;;isigcinazilwane eziphilayo;
 zygote;;iqanda elilumbekile;
 zygotene;;izayigothini;
 zygotic induction;;ukuqaliswa kwezayigothini;
zygotic selection;;inkethambi yeqanda elilumbekile;
;;;
;;;
