English Term;English Definition;IsiZulu Term;IsiZulu Definition
carrying capacity;;umthamokumumatha/umthamomkhawulo;
catch crop;; isitshalo esivumelana nendawo / isitshalokuguquka;
census population size;;inani lokubaliwe;
chemosynthesis;;ukubilisa ngembiliso ;
climate;;isimonkathinde sezulu;
climate change;;ukuguquguquka kwesimonkathinde sezulu;
climate envelope;;isimo sezulu esilungele ;
co-management;;ukuphatha ngokubambisana;
community;;umphakathi;
community based natural resource management;;ukuphathwa kwengcebo yemvelo umphakathi;
community supported agriculture;;ezolimo ezesekwe umphakathi ;
composition;;ukwakheka;
 compost;;imvundo/imvundela/imvundisi/umquba wokwenziwa;
 conifer;;isihlahla samakhoni;
connectivity/fragmentation;;ukuxhumana/ ukucazeka;
conservation;;ukongiwa (kwemvelo);
conservation management system;;uhlelokulawula lokongiwa kwemvelo;
conservation of biodiversity;;ukongiwa kwempiliswanomvelo;
consumer;;isidli/isisebenzisi;
containment;;ingwemakubhebhetheka;
contamination;;ukungcola/ukungcolisa;
control (of a pest);;ukulawulwa (kwesikhathazi/kwesihluphi);
control;;ulawulo/ukulawula;
crop;;isitshalo /isivuno;
crop pest;;isikhathazizitshalo/isihluphizitshalo/isihlaselizitshalo ;
cross breed;;ukuzalanisa ngokuxuba izinhlobo/ukubhastela;
cultural diversity;;ukwehlukahlukana kwamasiko;
data;;imininingo ;
decomposition;;ukuvundisa/ukubolisa ;
decomposer;;isibolisi;
deforestation;;ukucekela phansi ihlathi/amahlathi;
degrade;;ehlisa/lulaza/thunaza  ;
domesticated or cultivated species:;;imfuyo/izitshalo  ;
depredation;;ukudlana/ukubulalana kwezilwane nezimila ;
desertification;;ukugwadulisa;
detritivore;;idlambola ;
disease;;isifo;
disease agent;;isithwalasifo;
disease resistant animal;;isilwane esimelana nesifo/nezifo;
disease-resistant plant;;isimila esimelana nesifo/nezifo;
disturbance;;isiphazamiso;
dispersal;;ukusabalala/ukusakazeka;
diversity;;ukuhlukahluka/izinhlobonhlobo;
domestic waste;; izibi/udoti wasekhaya;
dune;;indunduma yesihlabathi;
dynamic conservation;;ukongiwa kwemvelo nokuthuthukiswa kwempilo;
dysphotic zone;;indawo engakutholi ukukhanya okwanele;
earth flow;;ukuhhidlika/ukuhhibhika kwenhlabathi;
earth quake;;ukuzamazama komhlaba;
eco-culture                ;;indawonhlalo;
ecology;;isifundo sendalo nemvelo ;
ecological farming;;ukulima ngokunakekela imvelo;
escherichia coli/ e coli-;;isikelemu esidala izifo/i-ikholi;
ecological niche;;insizandalo;
ecological process;;uhlelo lwendawo nemvelo ;
ecological resilience;;umelosimo lwendawo;
ecologically sustainable;;okuqhubezekayo kwendalo nemvelo;
economically viable;;okunenzuzo;
ecosystem;;uhlelonhlaliswano lokuphilayo nokungaphili;
ecosystem approach;;isukuphathwa lenhlaliswano yokuphilayo nokungaphili;
ecosystem diversity;;ukwehlukahlukana kwenhlaliswano yokuphilayo nokungaphili ;
ecosystem services;;imisebenzi yenhlaliswano yokuphilayo nokungaphili;
ecotourism;;ezokuvakashela ezemvelo;
ecotype;;uhlobo lwemvelo;
endangered area;;indawo esengcupheni yokushabalala;
endangered species;;uhlobo olusengcupheni yokushabalala (okuzimila nezilwane);
endemic;;okutholakala/okuvame endaweni ethile;
endemic species;;uhlobo olutholakala/oluvame endaweni ethile;
entry (of a pest);;ukungena/ukufika (isikhathazi/isihluphi);
environment;;indawo/imvelo/indalo ;
environmental crime;;ubugebengu obuphathelene nemvelo ;
environmental education;;ukufundisa ngendalo nemvelo;
environmental management;;ukuphathwa kwendalo nemvelo;
epiphyte;;inhlumamthini ;
eradication;;ukushabalalisa/ukuqeda;
establishment;;ukufika uzinze/ugxile;
establishment (of a biological control agent);;ukufakwa kwesilawuli ;
estuary;;isizalo somfula;
evolution;;uguqukozimpawu zofuzo;
exotic species;;okokufika;
ex situ conservation;;ukongelwa kwemvelo kwenye indawo;
extinct species;;uhlobo oselwashabalala (izimila/izilwane) ;
fauna;;izilwane;
fertilization;;1.       ukulumbana kwembewu (yesilisa neyesifazane)  2.       ukuvundisa ;
fertilizer;;imvundisi;
fledging;;ukumila izimpaphe;
fledgling;;iphuphu/impumasidlekeni;
flora;;izimila;
food chain;;uchungedliwano;
food web;;umjikelezokudla;
foreign species;;uhlobo lokufika (izimila/izilwane);
forest biodiversity ;;ukwehlukahluka kwempiliswanomvelo ehlathini;
fumigation;;ukushunqisela/ukuthunqisela ;
functional diversity;;ukwehlukahlukana ngokokusebenza;
fynbos;;ifeynibhosi;
gene;;ufuzo;
gene bank;;isilondolozifuzo/isikhungofuzo ;
gene flow;;ukudlula kofuzo;
gene pool;;ufuzosizinda ;
genetics;;isifundo ngofuzo;
genetic diversity;;uhlukahlukanofuzo;
genetic drift;;uguqukofuzo;
genetic engineering;;ubuchwepheshe bofuzo;
genetic marker;;inkombafuzo;
genetic pollution ;;ukunukubezeka kofuzo;
genetic variable;;uhlukobunjalo/ivariyebuli lo/yofuzo;
geomorphology;;isifundo ngendalo yomhlaba ;
global warming;;isivuvumhlaba;
grain;;uhlamvu;
grasslands;;imfunda yotshani;
grassroots (organizations or movements);;umphakathi osezingeni elisekuqaleni;
grass waterway;;umselemanzi otshanini;
green economy;;umnotho ngokwemvelo;
green manure;;ivundelangaphansi ;
ground water;;amanzi angaphansi komhlaba ;
habitat;;indawo (yokuhlala);
habitat degradation;;ukwehlazinga lendawo yokuhlala;
habitat fragmentation;;ukuphazamiseka kwendawo yokuhlala;
habitat loss;;ukushabalala kwezindawo zokuhlala;
harmful aquatic organisms and pathogens;;izilwanyana zasemanzini ezinobuthi nezifo;
harvest;;isivuno;
hazard;;ingozi;
hibernation;;isiqubebusika/isicashebusika;
home range;;ihlalasilwane;
hotspot;;indawosizinda;
hunting;;ukuzingela;
human- induced disturbances;;iziphazamiso ezidalwa abantu;
hydrology;;isifundo ngamanzi;
illegal harvesting;;ukuvuna ngokungemthetho ;
illegal hunting;;ukuzingela ngokungemthetho;
indicator species;;uhlobo oluyinkomba (izimila/izilwane) ;
indigenous forest;;ihlathi lemvelo/lendabuko;
indigenous people;;abantu bendabuko;
indigenous species;;uhlobo lwemvelo lwendabuko (izimila/izilwane);
industrial farming;;ezolimo ezinomkhiqizo omkhulu;
in situ conservation;;ukongiwamvelo ngokwendawo;
intentional introduction;;ukuphemba/ukuqala ngenhloso;
introduced species;;uhlobo oluphenjiwe/uhlobo oluqaliwe (izimila/izilwane);
introduction;;ukuphemba/ukuqala/ukungenisa;
introduction (of a biological control agent);;ukufakwa (kwesilawulimpilo semvelo);
invasive species;;uhlobo olungumaqonela (izimila/izilwane);
inventory;;ukuqoqwa kwemininingo (yemvelo);
keystone species;;uhlobo olumqoka (izimila/izilwane);
land use;;ukusetshenziswa komhlaba;
land use requirement;;okudingekayo ekusetshenzisweni komhlaba;
livelihood;;ukuziphilisa ;
macro organism;;okuphilayo okubonakalayo ;
mangroves;;ugudlulwandle/umamilangasolwandle;
marine environment;;indawo yasolwandle;
marine;;okuphathelene nolwandle ;
marine protected area;;indawo esolwandle evikelekile;
mating system;;uhlelokukhwelana ;
micro organism;;okuphilayo okungabonakali ngamehlo ;
millennium ecosystem assessment (mea);;ukuhlola ubudlelwanomvelo benkulungwaneminyaka;
minimum viable population;;inani elincane elingaphila;
mitigating measures;;izindlelakuxegisa/izindlelakunciphisa;
mixed farming system;;uhlelo lwezolimo oluxubile;
monitoring;;ukwelusa/ukuqapha/ukulandelela;
monoculture;;utshalo oluhlobolunye;
mortality rate;;izingakufa ;
native species;;okwendabuko (izimila/izilwane);
natural environment;;okwendalo/okwemvelo;
natural disturbances;;iziphazamisi ezingokwendalo/ezingokwemvelo;
natural disasters;;izinhlekelele ezingokwendalo/ ezingokwemvelo;
naturalised;;osekwenziwe okwendabuko/indabuko;
natural resources-;;ingcebo/imithombo yemvelo;
new introduction-;;ukuphemba/ukungenisa/ukuqala;
nocturnal species;;omahambabusuku/inkuthalabusuku (izilwane);
nomadic;;okuzulazulayo;
non-indigenous species;;uhlobo lokufika/ uhlobo olungelona olwendabuko/olwemvelo;
non-native species;;uhlobo lokufika/ uhlobo olungelona olwendabuko/olwemvelo;
non-quarantine pest;;isikhathazi/isihluphi esingenabungozi ;
non-target species;;uhlobo olungasophiwe (izimila/izilwane);
nutrient cycling;;ukusetshenziswa kabusha kwezakhamzimba/impindakusebenza yezakhamzimba;
occasional introduction;;ukuphemba/ukungenisa/ukuqala ngankathi;
occurrence;;ubukhona besikhathazi/besihluphi ;
overexploitation;;ukusetshenziswa ngokweqile;
oxygen;;umoyampilo;
pathway;;umgudu;
participatory rural appraisal;;ukubamba iqhaza komphakathi wasemakhaya;
patent;; ilungelobunikazi/ ukunikeza ilungelobunikazi;
pest;;isikhathazi/isihluphi ;
pesticides;;isibulalizikhathazi/isibulalizihluphi ;
pest free area;;indawo engenazikhathazi/engenazihluphi ;
pest- or disease-free area;;indawo engenazikhathazi/engenazihluphi nezifo;
pest risk analysis;;uhlaziyobungozi lwezikhathazi/lwezihluphi;
pest risk assessment (for quarantine pests);;uhlolobungozi lwezikhathazi/lwezihluphi;
pest risk management (for quarantine pests);;ulawulobungozi lwezikhathazi/lwezihluphi;
phytosanitary measure;;umthetho olawula inhlanzeko ezitshalweni;
plant succession;;ukwelamanisa izitshalo;
poaching;;ukuzingela ngokungemthetho;
pollination;;ukuqholeka kwempova;
pollute;;ngcolisa/nukubeza;
pollution;;ukungcolisa/ukunukubeza;
population;; iqoqonani/ izakhamuzi zendawo;
population control;; ukulawulwa kweqoqonani/ ukulawulwa kwezakhamuzi;
population viability;;1.       amathuba okuphila kwezakhamuzi/kwabantu  2.       amathuba okuphila kwezilwane nezitshalo;
precipitation;;ukuna;
predation;;ukudlana kwezilwane/kwezimila;
predator;;isilwane esidla ezinye/umadlezinye;
producer;;isikhiqizi/okukhiqizayo;
progeny;;isithombothi/inzalathi;
protected areas;;izindawo ezivikelekile;
quarantine pest;; isikhathazi/isihluphi esinobungozi/esinobuthi;
rare species;;uhlobo oluyivelakancane/olungavamile (izimila/izilwane);
raw water;;amanzi emvelo;
recycling;;impindakusebenzisa (ukuguqula imfucuza iphinde isebenze);
recycled material;;impindisebenze;
regulated article;;impahla elawulwayo;
rehabilitation;;ukuhlumelelisa/ukuvuselela;
release (into the environment);;-khulula/dedela;
renewable energy;;amandla avuselelekayo;
renewable resource;;ingcebo/insiza evuselelekayo;
resilience;;ukumelana nesimo (sendawo);
response diversity;;usabelozwelo ngokwehlukahlukana ;
restoration;;ukubuyisela esimeni;
ripening;;ukuvuthwa;
river catchment;;intelelamfula;
risk;;ingcuphe;
risk analysis;;uhlaziyongcuphe;
risk assessment;;uhlolongcuphe;
risk communication;;ukwaziseka ngobungcuphe;
risk management;;ulawulobungcuphe;
sanitary measure;;indlela yokulawula inhlanzeko ;
sanitary or phytosanitary measure;;indlela yokuhlanzeka/imithetho ngokuhlanzeka kwezitshalo;
seed bank;;isigcinambewu ;
selection;;ukukhetha;
social development;;ukuthuthukiswa kwezenhlalo yabantu;
social ecology;;isifundo ngobudlelwano babantu nemvelo;
soil degradation;;ukoniwa komhlabathi;
soil erosion;;ukuguguleka komhlabathi;
soil profile;;ubunjalo bomhlabathi;
soil stabilization;;ukusimamiswa/ukuvundiswa komhlabathi;
soil structure;;isakhiwo somhlabathi ;
species;;uhlobo (izimila/izilwane);
species diversity;;ukwehlukahlukana kwezinhlobo (izimila/izilwane);
spraying;;ukufutha/ukuchela ;
succession;;ukulandelana/uthunge;
spread;;ukwanda/ukwenaba/ukusabalala;
sprout;;ifufusakuqhuma/umadevana;
surveillance;;isiqaphi;
survey;;umklamo;
sustainable agriculture;;ezolimo ezibhekela ingomuso/ezisimeme/ezinozinzo;
sustainable development;;intuthuko ebhekele ingomuso/esimeme/enozinzo;
sustainable harvesting;;ukuvuna okubhekele ingomuso/okusimeme/okunozinzo;
sustainable use;;ukusebenzisa ngokucabangela ingomuso;
sustainable utilization;;ukusebenzisa ngokucabangela ingomuso;
surface water;;amanzi angaphezu komhlaba;
symbiosis;;ubudlelwano bezilwane/bezimila;
sympathetic management;;ukuphatha ngokunomnako/ngokubonelela;
taxonomy;;ukuhlukanisa ngokwezinhlobo (izimila/izilwane);
terrestrial;;okuphila ezweni/emhlabeni;
territorial;;okwendawo;
territoriality;;ubundawo;
territory;;indawo yesilwane/yezilwane;
threatened species;;uhlobo olusengcupheni yokuphela/yokushabalala (izimila/izilwane);
transferred species;;uhlobo oludluliselwe kwenye indawo (izimila/izilwane);
transplanted species;;uhlobo oluyitshala kabusha kwenye indawo (izimila/izilwane);
trespassing;;ukufohla;
troposphere;;umkhathimpilo/ithrophosfiye;
umbrella species;;uhloboluphahla/uhlobomsukela (izimila/izilwane);
unintentional introduction;;ukuphembeka/ukungeniseka/ukuqaleka ngokungenhloso;
taxonomy;;ukuhlukanisa ngokwezinhlobo (izimila/izilwane);
terrestrial;;okuphila ezweni/emhlabeni;
territorial;;okwendawo;
territoriality;;ubundawo;
territory;;indawo yesilwane/yezilwane;
threatened species;;uhlobo olusengcupheni yokuphela/yokushabalala (izimila/izilwane);
transferred species;;uhlobo oludluliselwe kwenye indawo (izimila/izilwane);
transplanted species;;uhlobo oluyitshala kabusha kwenye indawo (izimila/izilwane);
trespassing;;ukufohla;
troposphere;;umkhathimpilo/ithrophosfiye;
umbrella species;;uhloboluphahla/uhlobomsukela (izimila/izilwane);
unintentional introduction;;ukuphembeka/ukungeniseka/ukuqaleka ngokungenhloso;
vegetative propagation;;ukwandiswa kwezimila;
vector;;isithwali;
veteran tree;;isihlahla esidala/esingumakadenethwa;
veterinarian;;udokotela wezilwane;
wallow;;indawo yokubhuquza izilwane (odakeni/enhlabathini);
waste exchange;;inguqumfucuza/impendumfucuza;
waste reduction program;;uhlelo lokunciphisa imfucuza;
waste water;;amanzi asesebenzile;
waste water treatment plant;;isikhungo sokuhlanza amanzi;
water conservation;;ukongiwa kwamanzi;
water cycle;;umjikelezo wamanzi;
water energy;;amandla amanzi (ugesi);
water pollution;;ukungcola/ukunukubezeka kwamanzi;
water quality;;izingabunjalo lamanzi;
water resource management ;;ukulawulwa kokusetshenziswa kwamanzi;
watershed;;imichachazo (yamanzi)/umdlandlathi;
weed/weediness;;ukhula/ubukhula;
weed control;;ukulawulwa kokhula;
wetlands;;amaxhaphozi;
wildlife;;ezemvelo/ezasendle;
wildlife conservation;;ukongiwa kwezemvelo/kwezasendle;
wildlife crime;;ubugebengu kwezemvelo;
wild species;;uhlobo lwasendle (izimila/izilwane);
xerophyte ;;isimilagwaduleni;
yield;;ubukhona bamanzi;
yield, average annual;;isilinganisomanzi sonyaka;
yield, perennial;;amanzi angasebenziseka iminyakanyaka;
youth stage ;;isiqalokuguguleka ;
zooplankton ;;izilwanyana ezingomantantemanzini;
zone engineering control ;;indawo eqashelwe enemfucuzabungozi/indawo elawulwa onjiniyela;
zone of influence ;;indawo enamanzi/evundile;
