antiseptic (adj);isinqandakuvunda/isinqandakubhibha;
aquaculture (n);ezolimo emanzini;
aquarium (n);ithangi lezolimo emanzini/i-akhwariyamu;
aquatic (adj);okwasemanzini;
aqueduct (n); isidlulisimanzi /i-akhwidakthi;
aquifer (n);umkhumengo/i-akhwifa;
arboretum (n);ingadi yokufunda ngezimila/i-abhorethamu;
archaeology (n);Isayensiyezamandulo/ isayensi yezasendulo;
archway (n);ikhothamo;
arctic (n);i-akthikha/injikoyempunzi;
ark (n);umkhumbi;
armadillo (n);isambane i-amadilo;
ashore (adv);osebeni;
asphalt (n);itiyela;
assimilation (n);Ukumunceka/ukuthathisela;
asteroid (n);umhlaba omncane/i-asteroyidi;
asthenosphere (n);i-astenosfiye;
atlantic (n);ulwandlekazi i-atlantikhi;
atmosphere (n);umkhathi;
atmospheric (adj);okomkhathi/okwasemkhathini;
atom (n);i-athomu;
autotroph (n);ugayazidlele/i-othothrofu;
bacterium (n);igciwane/ibhakthiriya;
bamboo (n);uqalo;
barnacle (n);imbambelela;
bedrock (n);idwala elingaphansi komhlabathi;
benthic (adj);okwasekuzikeni;
benthos (n);okuphila ekuzikeni;
berry (n);okusajikijolo;
biocultural (adj);impilokuthelelana/impilokunikezelana;
biodegradable (adj);okubolisekayo/okugayekayo ngokwemvelo;
biodiverse (adj);okunempilokwahlukana;
biodiversity (n);impilokwahlukana;
biogeochemical (adj);okwempilo yomhlaba namakhemikhali;
;;
;;
;;
biogeochemistry (n);isifundo esiphathelene nempilo yomhlaba namakhemikhali;
biogeography (n);ubudlelwane bomhlaba nokuphilayo;
bioinvasion (n);izifikanabutha;
biological (adj);eyokuphilayo;
;;
biology (n);isayensi yokuphilayo;
biological diversity (n);impilokwahlukana;
biomass (n);isiphehlimandla;
biome (n);indawo yokuphilayo/isifunda sokuphilayo/ibhayomu;
biophobia (n);ukwesaba okwemvelo;
biopolymer (n);izinhlayiyamkhiqizo zempilo/ibhayipholima;
bioreactor (n);umshini ohlusayo/umshinicwaningo;
biosphere (n);umkhathimpilo;
biota (n);indawothizeni yokuphilayo/ibhayotha;
biotechnology (n);ubuchwepheshe bokuphilayo/ibhayothekhnoloji;
biotic (adj);okuphilayo;
blowfish (n);umakhukhumala/umafutheka (inhlanzi);
bluefin (n); Ibhlufini (inhlanzi);
boreal (adj);okuphila eqhweni (enyakatho);
botanical (adj);okumilayo;
;;
botany (n);isifundo ngezimila;
boulder (n);imbokodo;
bream (n);ibhrimu      (izinhlanzi);
brevifolia (n);ibhrevifoliya (isihlahla);
brine (n);isincinti sikasawoti;
bromeliad (n);ibhromiliyadi (imbali);
bromine (n);ibhromayini;
bionic (adj);okwesingasitho;
bubonic (adj);ubhubhane;
bulrush (n);utshani basemanzini (ibhuma, incema, ikhwani njll.);
bundleflower (n); ibhandiliflawa;
cactus (n);isihlehle;
canopy (n);kwelenyoni/ikhanophi;
canyon (n);iwangoxi;
capillary (n); umthanjana/ikhaphilari;
carnivore (n);isiphilanganyama/indlanyama;
carotene (n);umbomvana/ikharothini;
cashews (n);amakatshu;
catalyst (n);isikhuthazanguquko;
catastrophe (n);isibhicongo/inhlekelele/imbedumehlwana;
catbird (n);Inyonikati/inyonimangobe;
catharanthus (n);ikhatharantusi;
cavern (n);umhume osemgedeni/umgedegede;
cedar (n);umsedari;
cell (n);inhlayiya;
cellulose (n);uthwethwesi;
cetacea;isathishiyeni;
channelisation (n);ukuguduzisa;
chemosynthesis (n);ikhemosintesisi;
chloride (n);iklorayidi;
chlorine (n);inhlanzamanzi/ikhilorayini;
chlorofluorocarbon (n);ikloroflorokhabhoni;
chlorophyll (n);Inkombaluhlaza yamaqabunga/iklorofili;
cichlid (n); isiklidi (inhlanzi);
cinchona (n);inhlaluhlaza isinkhona;
cinnamon (n);isinamoni;
citrus (n);isithelo esinobuwolintshi;
climate (n);isimo sezulu ngokwenkathi;
coast (n);ugu;
coastal (n);ngasogwini;
coastal zone (n);indawo yasogwini/indawo esogwini;
coastline (n);umsweswana wogu;
cod (n); ikhodi (inhlanzi);
composition (n);inhlanganisela;
compost (n);imvundiso/imvundela/umquba;
condensation (n);inguqukomhwamuko (amanzi);
conservation;ukongiwa/ukunakekelwa/ukulondolozwa (kwemvelo);
contaminant (n);isingcolisi/isinukubezi;
contaminate (v);ngcolisa/nukubeza;
contour line (n);umbimbimhlaba/ikhontolo;
converge (v);sondelelana;
conversion (n);ukuguquka;
coral (n);ikhorali;
coral reef (n);iqoqo lnkamakhorali;
creosote (n);itiyela/ikhriyosothi;
crested (adj);okunesiqhova/okunogedla;
crevice (n);umfantu;
crust (n);uqweqwe/ikhekheba;
crustacean (n);okusankalankala;
cuttlefish (n);ingwane;
cyanide (n);isayanayidi;
cyanobacterium (n);isayanobhakthiriya;
dandelion (n);idandeliyoni;
dander (n); isikhwethu;
dearth (n);ukwesweleka;
debris (n);imvithi;
deciduous (adj);okuwohlokayo/ okuhlangulayo;
;;
deforestation (n);ukuceka/ukuhlahla/ukukhehla amahlathi;
delta (n);inhlukanamufula;
demography (n);isifundomidanti/idemografi;
denitrification (n);idinithrifikheshini;
desalinisation (n);ukukhipha usawoti emanzini;
desertification (n);ukugwaduleka;
desiccation (n);ukomisa;
detritivore (n);isidlambola/umphiphakubola;
detritus (n);izibi/imfucuza/umbola;
deuterium (n);idutheriyamu;
diatom (n);idayathomu;
dieldrin (n); ushevu idildrini  ;
diffusion (n);Ukuhlakazeka/ukusakazeka;
dimethyl (n);idayimithayili;
disinfectant (n);isibulalimagciwane;
disperse (v);ukusakaza/ukusabalalisa/ukuhlakaza;
distillation (n);ukuhluza/ukuthonsisa/ukuconsisa/ukujulukisa;
divergent (adj);okuhlukene;
diverse (adj);okwehlukene;
dormant (adj);okuqubile/okulele;
dredge (v);ukugugula emanzini;
duckweed (n);isimilamfuleni /isimilamanzini/isintantamanzini;
earthquake (n);ukuzamazama komhlaba;
ecological (adj);okwenhlaliswanobudlelwane/okwe-ikholoji;
ecology (n);isayensi yenhlaliswanobudlelwane/i-ikholoji;
ecosystem (n);impilandawonye/i-ikhosistimu;
ecotourism (n);ezokuvakasha eziphathelene nemvelo/uvakashelomvelo/ezemvelokuvakasha;
electromagnetic (adj);okukazibuthegesi;
emission (n);okuphunyiswayo/okukhishwayo;
emit (v);khipha/phumisa;
endangered (adj);okusengcupheni yokushabalala;
endangering (v);beka engcupheni yokushabalala;
endemic (adj);okutholakala endaweni ethile kuphela/ okungumsinsi wakuleyo ndawo/okuvamile kuleyo ndawo;
environmentalism (n);injulalwazi yokuvikela ezemvelo;
epidemic (n);ubhubhane/umashayabhuqe/imbo;
epiphyte (n);inhlumamthini/i-ephifayithi;
equator (n);inkabazwe;
ermine moth (n);ibhu elizimukile/ i-emayni;
erode (v);gugula;
erosion (n);ukuguguleka;
erythromycin (n);isinqindamandla amagciwane/isidodobalisimandla amagciwane /i-antibhayothikhi i-erithromayisini;
estuary (n);isizalo somfula; 
eutrophic (adj);okunikimpilo ezimileni zasemanzini;
evaporate (v);hwamuka;
evapotranspiration (n);inyukamhwamuko/ukwenyuka komhwamuko;
everglades (n);ubhuku;
falcon (n);ukhozi/ifalkhoni;
fallow (adj);okuyifusi;
fawn (n);isixhumo;
fermentation (n);ukubila/ukubilisa;
fibrous (adj);okwenxoza/okwemicu;
floodplain (n);ukhwazi / izinkwazi;
floodwall (n);isivimbazikhukhula;
floodwater (n);izikhukhula;
fluorine (n);Iflorayini  ;
forage (v);ifolishi;
foxglove (v); ifokisigilavu (imbali);
germinate (v);qhuma/mila;
gestation (n);inkathi yokukhula kokumithiwe;
glacial (adj);okobuqhwa;
globalisation (n);Insebenziswanoxhumano yomhlaba;
gorge (n);ingoxi/ingoje/igoji;
greenhouse (n);inkulisazithombo/ indlu yokukhulisa izithombo;
groundwater (n);amanzi aphansi/amanzi angaphansi komhlaba;
gully (n);umhosha;
haddock (n);ihadokhi   (inhlanzi);
halibut (n);ihalibhathi  (inhlanzi);
heatstroke (n);ukuqulekiswa ukushisa;
hemlock (n);isikhomakhoma/ihemulokhi;
haemoglobin (n);izinhlayiya ezibomvu egazini;
herbivore (n);indlasimila;
hibernation (n);ukucashela ubusika;
homogenise (v);ukufananisa;
homogeneous (adj);okufanayo;
hornbill (n);umkholwane/insingizi/ingududu;
hyacinth (n); ihayasinthi   (imbali);
hybrid (n);okuqhamuke kokungafani/ibhastela;
hydro- (n);isiqalo esiphathelene namanzi;
hydroelectricity (n);ugesi ophehlwe ngamanzi;
hydrogen (n);ihayidrojini;
hydrologist (n);uchwepheshe wezamanzi;
hydrosphere (n);amanzi omhlaba;
hydrothermal (adj);okuphathelene nokufudunyezwa kwamanzi omhlaba;
impenetrable (adj);Okungangeneki/okungamfimfisi;
Inbreeding (n);ukuzalisana kokuzalanayo;
infest (v);thelekela /hlasela;
infrared (n);imisebe ebomvana;
inhabitant (n);ukuhlala/ukwakha/ukuzinza;
inorganic (adj);okungakaze kuphile;
insecticide (n);Isibulalizinambuzane;
insemination (n);ukufakwa kwesidoda/kwembewu;
interbreeding (n);ukuzalisana kokuhlobene ngokufana;
intrinsic (adj);okungumongo/okuyinqobo;
invasion (n);ukuhlasela;
invertebrate (n);okungenamgogodla;
iodine (n) ;i-ayodini;
jellyfish (n);inhlanzitheketheke;
juniper (n);ijunipha  (isihlahla);
kinetic (adj);okomnyakazo;
koala (n);isinkwe/imbambelela/khowala;
lagoon (n);ichwebana/umncwebe;
lake (n);ichibikazi;
landfill (n);umgodikazi wokulahla udoti;
landslides (n);ukuhhidlika/ukubihlika komhlaba;
larva (n);isiphungumangatha/unkomozingaphi;
latitude (n);inkombamhlaba ilathithudi;
legume (n);umdumba/umqumbe;
levee (n);isivimbakuchitheka/isivimbakukapaka/isivimbakuphuphuma;
lithosphere (n);ilithosfiye;
littoral (n);okusosebeni lwechibikazi;
loam (n);ugadenzima/ifenya;
mackerel (n);imakhereli    (inhlanzi);
macoma (n);imakhoma    (imbaza);
mantis (n);isithwalambiza;
mantle (n); isibeba/ugqinsi lomhlaba;
manure (n);isivundisi/umquba/umanyolo;
map (n);ibalazwe/imephu;
maple (n);isihlahla imephula;
marasmus (n);isifo sendlala imarasmasi;
marine (adj);okwasolwandle;
maritime (adj);ezasolwandle;
marlin (n);imalini    (inhlanzi);
marsh (n);ixhaphozi;
marshland (n);indawo enamaxhaphozi/isidaka/ifenya;
meadow (grassland) (n);imfunda;
meagre (adj);okuqwathulekile/okondile/okuzacile;
meander (n);ukuzombeza/ukugwinciza;
;;
membrane (n);uthwethwesi/ulwelwesi;
membrane-bounded (adj);okumbozwe uthwethwesi/ulwelwesi;
mercury (n);isigidi/imekhyuri;
mesotrophic (adj);okumunca izondlamzimba/ okwamandla okumunca izondlamzimba;
meteoroid (n);itshemkhathi/idwalamkhathi (phansi)/ imithiyorayithi;
meteorologist (n);isangoma sezulu/uchwepheshe kwezesayensi yesimo sezulu/isazi sesimo sezulu;
methane (n);imitheyni;
micro (adj);okuncu/ isiqalo sobuncane;
microbe (n);amagciwane/amamayikhrobhu;
microevolution (n);inguquko etotobayo/engagqamile;
microlivestock (n);otondo/izimbashelana/obhatomu ;
micrometer (n);isilinganiso sobuncane/imayikhromitha;
micronutrient (n);isakhamzimba/isondlamzimba esincu/ isakhamzimba esidingeka kancane;
microorganism (n);igciwane eselihlonziwe;
microscope (n);Isibonakhulu/isibonisakhulu/imayikhroskophu;
modernisation (n);ukwenzasimanje;
moisture (n);umswakama;
mould (n);isikhunta;
mole (n);imvukuzane/ivukusi;
molecule (n);imolekhyuli;
mollusc/mollusk (n);iminenke/imolaskhi;
molten (adj);okuncibilikisiwe;
mongoose (n);uchakide/ubhoshobana;
monoculture (n);umlimonhlobonye;
monsoon (n);isiphepho sasolwandle/umoya womzansi;
moratorium (n);isivimbelo sesikhashana;
moss (n);ulwelwe oluluhlaza/ubulwembu/imosi;
moth (n);ibhu;
mudslide (n);ubikibiki lodaka;
mulch (n);imbozakuvundisa/imfucuzakuvundisa;
mule (n);umnyuzi;
multicellular (adj);okunhlayiyaningi;
mussel (n);imbaza/imasela;
mutagen (n);isiguqulimfuziso;
mutate (v);guqula/mutheythi;
mutation (n); ukuguquka;
myriad (adj);okuninginingi/okuyinkumbula/okuyizinkumbi/okuyizindimbane;
myrothecium (n);Ikhuntela/imayirothisiyamu;
natural (adj);okwemvelo;
natural vegetation (n);izimila zemvelo;
nectar (n);umpe;
neutron (n);inyuthroni;
niche (n);isimo esivumayo (ezemvelo);
nickel (n);inikheli;
nitrate (n);inayithrethi;
nocturnal (adj);okwasebusuku/ubusuku;
nodule (n); isigaxana/isimilela;
nomadic (adj);okugcogcomayo/o;
nondegradable (adj);okungaboliseki/okungagayeki/okungacozuleki;
nonrenewable (n);okungavuseleleki;
nitrogen (n);inayithrojini;
nuclear (adj);1.       okuyinuzi           2.      okunomongo wenhlayiya;
nutmeg (n);unathimeki;
nutrient (n);isakhamzimba/isondlamzimba;
oak (n);i-okhi/ukhuni i-okhi;
oasis (n);umthombo wasogwadule;
oceanfront (n);ugu lolwandle;
oceanography (n);isayensi yezasolwandle/ezolwandle nezalo;
odontocetes (n);umkhoma i-odontosethisi;
offshore (adj);okumaphakathi nolwandle;
oleander (n);i-oliyenda;
oligotrophic (n);okuntula izakhamsoco/iziphilisi/i-oligothrofikhi;
omnivore (n);umadlakonke/indlakonke (inyama nokumilayo);
onshore (adj);okuqhelile olwandle;
opium (n);i-ophiyamu;
opossum (n);i-ophosumu;
orangutan (n);inkawumfene;
orbit (n);umzilamjikelezo;
orchard (n);insimu yezithelo;
orchid (n);imbali i-okhidi;
organelle (n);i-oganeli;
organic (adj);okunokuphila;
oryx (n);i-oriksi;
oscillation;inhlangenyuke;
osmosis (n);i-osmosisi;
overexploitation (n);ukuxhaphaza/ ukusebenzisa ngokweqile;
overfishing (n);ukudoba ngokweqile;
overgrazing (n);Ukuklabisa ngokweqile;
overharvesting (n);ukuvuna ngokweqile;
oxide (n);ukugqwala/ukuthomba/i-oksayidi;
oxpecker (n);Ihlalanyathi;
oxygen (n);umoyampilo/i-oksijini;
oyster (n);Ukhwathu/imbada/i-oyista;
ozone (n);umoyamkhathi/ i-ozoni;
ozone layer;ingubomkhathi;
parakeet (n);upholi ipharakhithi;
pasture (n);Idlelo/ikhaphelo;
pathogen (n);indalasifo  ;
pelagic (adj);okumamaphakathi nolwandle;
penetrate (v);fohla/gqobhoza/bhodloza/hlufeka;
percolate (v);hluza/finineka/sefeka;
peregrine (n);iphiyegrayni;
perennial (adj);okuyinhlalande;
periwinkle (n);1.       umnenke wasolwandle/ipheriwinkili      2.       imbali ipheriwinkili ;
permafrost (n);inhlabathiqhwa;
permeable (adj);okuputshukisayo;
peyote (n);isihlehle iphiyothe;
phosphorus (n);ifosiforasi;
photosynthesis (n);ifothosinthesisi/ukwakhekakudla kwesimila;
phytoplankton (n);ifayithoplankthoni;
plasmid (n);iplasmidi;
poaching (n);ukuzingelakweba;
porpoise (n);ihlengethwa iphophoysi;
post-industrial (n);udlulonkathi yezimboni;
potassium (n);iphothaziyamu;
precipitation (n);ukuna;
protoplasm (n);iphrotoplazimu;
protozoa (n);iqoqo lonhlayiyanye;
pulpwood (n);ugodo/ukhuni;
quadruped (n);unyawozine;
quagga (n);ikwaha;
rabies (n);amarabi;
raccoon (n);irakhuni;
radiation (n);ukusabalalisamisebe;
radioactive (adj);okosabalalisomisebe eyingozi;
ranch (n);ipulazi lemfuyo;
rancher (n);umfuyi wemfuyo;
reforestation (n);utshalomahlathi kabusha;
rehabilitate (v);hlumelelisa/buyisela esimweni;
rotenone (n);isibulalizinambuzane;
sagebrush (n); isejibhrashi;
salamander (n);iqhimlili/ibanda;
saline (n);ubuncinti bukasawoti;
sanctuary (n);indawo yokugcina izilwane/isiphephelo sezilwane;
sapphire (n);itshegugu isafaya;
satellite (n);isathelayithi;
saturate (v);dadazisa;
savanna (n);Imfunda yotshani/isavana;
seabed (n);Isinqe solwandle;
seashore (n);ugu lolwandle;
seaside (n);ingasolwandle;
seaweed (n);ukhula  lwasolwandle;
semi-arid lands (n);izindawo ezimvulancane;
semi-desert (n);isingagwadule;
semi-dwarf (n);isingambashelana;
sensor (n);inzwakuzwa;
shellfish (n);inkumbanhlanzi;
shorebird (n);inyoni eyasogwini;
shrub (n);isihlahlana;` 
soil fertility (n);ukuvunda komhlabathi;`
soil nutrients (n);izondlazimila ezisemhlabathini;
soil resources (n);ingcebo yomhlabathi;
solar (adj);okwelanga;
specimen (n);isiboniselo;
stinkbug (n);umzondo;
stomata (n);izimbotshana/istomatha;
stratification (n);ukutaka/ukulakanyiseka/istratifikeshini;
stratosphere (n);istrathosifiye;
streptomycin (n);istrepthomayisini (i-antibayothikhi);
subarctic (adj);okungezansi kwenjiko yempunzi/okwesabhakthikhi;
subatomic (adj);okungaphakathi kwe-athomu/ isabhathomikhi;
subsoil (n);umhlabathi ongaphansi kongaphezulu;
subtropical (adj);okwezifunda ezisikelana nezinjiko;
subtropics (n);izifunda ezincikene nezinjiko;
succulent (adj);okuyinsobonsobo;
sugarbeet (n);izaqathi ezinoshukela;
sulfate (n);isalfeythi;
sylvatic (n);isilvathikhi;
synergy (n);insebenziswano/intekeliswanomandla;
synthesis (n);ukwakha/ukwenza;
terrestrial (adj);okwezwe/okomhlaba/ okuhlala emhlabeni;
thermodynamics (n);ubudlelwane bamadla okushisa namanye/ithemodayinamikhi;
thermostat (n);isilawulakushisa/ithemostathi;
tilapia (n);inhlanzi ithilaphiya;
tillage (n);ukuphendula/ukulima;
transgenic (adj);okunolibofuzokuthekelwa;
transpiration (n);uphefumulozimila;
trematode (n);izingcili/izikelemu eziyisicaba;
tropic (n);izinjiko;
tropical (adj);okwezinjiko;
tropical forests (n);amahlathi asenkabazwe;
troposphere (n);izansi lomkhathithrophosfiye;
truffle (n);ugwayi kanhloyile/ugwayi kathekwane/ithrafuli;
tuber (n);isigaxasimila;
tumefaciens (n);igciwane elibangela ukukhula kwesigaxa ezitshalweni;
tuna (n);ishuna   (inhlanzi);
tundra (n);ithafa ithandra;
turbid (adj);okudungekile;
turbulent (adj);okunobuyaluyalu;
typhoon (n);isiphepho ithayifuni;
ultraviolet (n); imisetshana esabukhwebezane;
overpopulated (adj);okuningi ngokweqile;
uninhabitable (adj);okungahlaleki kuyo;
unsustainable (adj);okungazisimamiseki;
updraft (n);inkuphukamsinga;
upstream (adj);okusenhla nomfula;
urbanisation (n);inguqukelasilungwini;
urchin (n);ingungumbane yasolwandle;
venom (n);isihlungu/ubuthi;
vertebrate (n);isilwane esinomgogodla;
waterborne (adj);okuyisihlalamanzini;
waterlogged (adj);okugcugcile/okugcwele amanzi;
watershed (n);imfunda yomfula/umdlandlathi;
yew (n);isihlahla iyu;
yield (v);thela/vuna;
zooplankton;izuplankthini;
zooxanthellae;izuzanthela;
upper bound;insondelakungathinti emile;
variable;inhlanganomigqa;
variance;umthamo;
vector components;ubudemaza;
vector;ububanzi;
vertical asymptote;umgamanxovundlo;
vertex;umgamanxokunyuka;
volume;okungekho/igunqu;
wavelength;umgamanxovundlo;
width;umgamanxokunyuka;
x-intercept;okungekho/igunqu;
y-intercept;umgamanxokunyuka;
zero;okungekho/igunqu;
