English Term;English Definition;IsiZulu Term;IsiZulu Definition 
ethical issues in the purpose;;okuphathelene nenqubonhle enhlosweni yocwaningo;
ethical issues in the research problem;;okuphathelene  nenqubonhle enkingeni yocwaningo;
ethics;;inqubonhle;
ethics in religion;;inqubonhle yezenkolo;
ethics of science;;inqubonhle yesayensi;
ethnographic study;;ucwaningo lokuzimbandakanya nomuphakathi;
ethnography;;umcwaningi uba yingxenye yomphakathi awucwaningwayo;
evolutionary theory;;injulalwazi yenguquko;
existential hypothesis;;ilokho okufakazelekile okutholakala kwihyphothisisi;
experimental design;;okocwaningo okuyilinge;
experimental method;;indlelakwenza eyilinge;
experimental research;;ucwaningo oluyilinge;
experimental study;;ucwaningo oluyilinge;
explanatory analysis;;uhlaziyo oluchazayo;
explanatory notes;;amanothi achazayo;
exploratory research;;ucwaningo oluhlwayayo;
external validity;;isiqinisekiso sangaphandle;
f test;;isivivinyo i-f;
face validity;;isiqinisekisongqakambo;
face-to face interviews;;ingxoxobukhoma/ ingxoxo yobusonobuso;
factor analysis ;;ukuhlaziyabudlelwane bemininingo;
false accuracy;;okungashayi emhlolweni;
falsification;;ukulumba;
field notes;;amanothi ocwaningo;
fieldwork;;ucwaningo oluwuphumo/ ucwaningo lwasefildini;
figures ;;imifanekiso ocwaningweni;
finite population;;iqoqo elingabaleka;
focus group;;iqoqo elizocwaningwa/elicwaningwayo;
folk knowledge;;ulwazi lwendabu/lwesintu;
frequency;;isibalomvama;
gatekeepers;;abaqaphicwaningo;
general note;;ingcaciso yocwaningo;
general objective;;injongo jikelele;
general sources;;iminyombo ejwayelekile /imithombo eyisisekelo;
global history;;umlando womhlaba jikelele;
good literature;;imibhalo engasoze yabuna ;
graphs;;amagrafu;
grid test;;isivivinyo sokulinganisa izinombolo;
grounded theory;;injulalwazi eyivuso ;
group dynamics;;ubudlelwano bamalungu eqoqwaneni;
g-test (category categorical data);;isivivinyo i-g;
hall test;;isivivinyo esenzelwa endaweni eyodwa;
heading;;isihloko;
heteroscedasticity;;ivariyabhuli eletha ukwahlukahlukana;
histograms;;izinombolomininingo/ihistogramu;
historical background;;isendlalelamlando wocwaningo;
holding factors;;izibambezelicwaningo;
holocentric;;okugxila nxazonke;
homogenous groups;;omaqoqwana afanayo;
homoscendasticity;;okuveza ukufana;
human dignity;;isithunzi sobuntu;
hypothesis;;umcabango/umbono ongakafakazelwa/ihayiphothesisi;
ideographic research;;ucwaningomuntu;
implications;;imithelela;
incentive;;umhlomulonkuthazo;
incidents;;izigameko;
independent variables;;okuguquguqukayo okuzimele;
in-depth interviews;;ingxoxo ejulile;
indirect observation;;ukuqaphela okugwegwesayo;
inductive;;okuholela kokuthile;
inductive analysis ;;uhlaziyo lokuholela kokuthize;
inferential analysis;;uhlaziyo lokusuzela kokuthile;
insiderness;;ubulungu;
instrumentation;;ukusetshenziswa kwezinsizakuqoqamininingo;
instruments;;izinsizakuqoqamininingo;
interest;;intshisekelo;
internal consistency;;inhlalanjalo yangaphakathi;
internal factors;;izimo zangaphakathi;
internal validity ;;ukuqinisekiswa kwangaphakathi;
internet research;;ucwaningo lwe-inthanethi;
interpretation;;ukuhumusha;
interpretive;;okuhumushayo;
interviewee;;iphoswambuzo;
interviewer;;iphosambuzo;
interviewer bias;;ukuchema kwephosambuzo;
interviews;;izingxoxo;
journal articles;;amaphepha ocwaningo/amajenali ocwaningo;
judgement sample;;isampula elimele iminxa yonke;
key concepts;;imiqondomsuka emqoka/esemqoka;
key personnel;;abamqoka ocwaningweni;
key verifying;;ukuqinisekisa ubunjalo;
laboratory experiments;;amalinge aselabhorethri;
likert scale;;isikali ngokuka-likert;
limitations;;izingqinamba zocwaningo;
list of abbreviations;;uhlu lwezifinqo ;
list of figures;;uhlu lwmifanekiso;
literature ;;imibhalo;
literature review;;ukubuyekezwa kwemibhalo;
literature surveys;;inhlolomibhalo;
logical arguments;;imibonobufakazi ehlelekile;
logical framework;;uhlaka oluhlelekile;
longitudinal research;;ucwaningo oluwundendende;
magazine articles;;ama-athikili asephephabhukwini;
manuscript;;umbhalo wesandla;
margin of error ;;impambuko kokuvumelekile;
market research brief;;umyalelo wocwaningo;
marketing research;;ucwaningo lwezokuthengisa;
matrices;;amamethrikhi;
mean;;imini;
median;;inombolomphahlo/ imidiyeni;
meta-analysis ;;uhlaziyongxube;
methodological constrain;;inkolelwandalweni/ukukholelwa endalweni;
methodological triangulation;;indlelakwenza yocwaningo engxube;
milestone study;;igxathu ocwaningweni;
misconduct in science;;ukwephula izimiso zocwaningo;
mission;;impokophelo;
mixed method;;indlela engxube;
mode;;inombolomphindwa/ imodi;
monadic rating;;ukwahlulela izinga ngokungaqhathanisi;
multiple indicators;;izinkombangxube;
multiple-choice question;;umbuzo ekhethisayo;
multistage;;izigaba ezahlukene;
multivariate analysis;;uhlaziyongxube;
mutual exclusiveness;;ukungahlalelani;
narrative analysis;;uhlaziyo olulandayo;
narrative hook;;uheho;
narrative research;;ucwaningo olulandayo ;
natural selection;;ukuzikhethekela ngokwemvelo;
needs assessment;;inhlolozidingo;
negative results;;imiphumela elandulayo;
networking;;uxhumaxhumano;
newspaper articles;;ama-athikili ephephandaba;
no cost time extension;;ukwelulwa kwesikhathi okungenazindleko;
non-balanced scale;;okuchemela ohlangothini lunye;
non-directional;;okungenankomba;
non-mathematical;;okungenamigomo yokubala;
non-probability;;okungaqaguleki/okungaqageleki;
non-probability sample;;isampula elingaqanguleki/elingaqageleki;
non-sampling error;;iphutha elingalona ingxenye [yokuqokiwe/yesampula] /iphutha elingeyona ingxenye [yokuqoka/yokwenziwa kwesampula];
normally distributed;;ukusabalalisa okuhlelekile;
note;;amaphuzwana okuzikhumbuza;
note cards;;amakhadi okuzikhumbuza;
novice researchers;;abacwaningi abasafufusa;
null hypotheses;; umcabango ongefakazeleke;
object;;injongo;
objectives;;izinjongo;
observational methods;;izindlela zokucwaninga ngokuqaphela;
observational research;;ucwaningo ngokuqaphela;
ontology;;ukucwaninga ngobukhona;
open ended questions;;imibuzo evulelekile;
operationalization;;uhlelokwenza ;
operations;;okwenziwayo;
opinion;;umbono;
ordinal level data;;ukuhlelomininingo ngokwezigaba;
organized research;;ezocwaningo ezihleliwe;
panel study ;;ucwaningo oluwuchungechunge lweqoqwana;
paradigm;;uhlelomqondo/umqondombono/ipharadaymu;
parenthesis;;isikhawu;
participant;;umbambiqhaza;
participant observation;;1. ukuqashelwa kombambiqhaza  2. ukuqaphela kombambiqhaza ;
participatory worldview;;indlelakubuka ngokokubamba iqhaza;
peer-review ;;ubuyekezontanga/ubuyekezobalingani;
permission seeking;;ukucela imvume;
personal experiences;;amava/nodlulekukho;
personnel;;izisebenzi/abasebenzi;
phase analysis;;uhlaziyo ngezigaba;
phenomenological analysis;;uhlaziyonto;
phenomenological research;;ucwaningonto;
physical traces;;ukulandela izenzo;
pilot studies;;ucwaningovivinyo;
plausibility;;ukukholeka;
polemics;;ukugxibha;
policy analysis ;;uhlaziyonqubomgomo;
population;;iqoqo lokuphilayo;
population ethics;;inqubonhle yeqoqo lokuphilayo;
position papers ;;amaphephambono;
positivism ;;ukubuka izenzeko ngokwesayensi/iphozithivizimu;
positivists;;abaqinisekisa izenzeko ngokwesayensi;
post positivist worldview;;indlelakubuka eyalama i-phozithivizimu;
postal research;;ucwaningo oluthunyelwa ngeposi;
post-anarchism;;indlela yokuphikisa imibono yokungazinzile ;
posterior probability;;isiqenisekiso sobekuqaguliwe;
postulates;;ukubeka njengokuyiqiso;
pragmatic worldview;;indlelakubuka yokungenzeka;
pragmatism;;injulalwazi yokungenzeka;
pragmatist;;okholelwa kokungenzeka;
preconceptions;;umbono/umcabango ongaqinisekisiwe;
predict;;ukubikezela;
predictive validity;;isiqinisekiso sobekubikezelwe;
preliminary sources;;imithombo/iminyombo eyandulelayo;
primary sources;;imithombongqangi/iminyombongqangi;
principal investigator ;;umncwaningi omkhulu;
privacy;;isithe;
probability;;okuqagulekayo kakhulu;
probability distribution;;ukusatshalaliswa kokuqagula;
probability notes;;imiphumela ngobekuqaguliwe;
probing;;ukuphenyisisa;
projective technique;;ubunyoninco bokubuza;
proposal;;ishlongozo socwaningo/iphrophozali;
psychology abstracts;;amaqoqa akwasayikholoji/amajuphe akwasayikholoji;
publication;;ushicilelo;
purpose statement;;isitatimende senhloso;
purposive sampling;;ukuqoka ngenhloso;
qualitative ;;ikhwalithethivu;
qualitative methodology;;indlelakwenza eyikhwalithethivu;
quality control;;ukulawula izingabunjalo;
quantitative ;;ucwaningozinombolo ikhwantithethivu;
quantitative analysis;;uhlaziyonombolo;
quartile deviation;;inguqukomphumela;
quasi-experiment;; isingalinge ;
questionnaire design;;ukwakheka/ukuma kohlu lwembuzo;
questionnaires;;izinhla zemibuzo;
quota sampling technique;;isu lokuqoka ngokufananisa;
quotation;;isicaphuno/okucashuniwe;
random coefficient ;;okungalawuleki;
random sampling;;ukuqoka ngokuwola;
randomisation;;ukuwola;
range ;;ibanga lokusabalala kwemininingo;
rank order ;;uhleloqophelo/uhlelomazinga;
rational discourse;;inxoxonzulu ephusile;
raw score ;;inaningqo/inanimsulwa;
realistic;;okunobuqiniso;
recall bias;;ukukhumbula ngokuchema;
recapitulation;;ufingqogcizelelo;
recommendations;;izincomo;
recordings;;okuqoshiwe;
references;;imithombo yolwazi;
reformed epistemology;;uguquko ekubukweni kweminyombo yolwazi;
refusal rate ;;izinga lokwenqaba;
regression analysis;;uhlaziyonyova;
relevance;;ukuhambelana;
reliable;;okungathembeka;
replicability ;;okuphindekayo;
replication;;okuphindekile;
replication studies;;ucwaningompindwa;
report;;umbiko;
representative sample ;;okuqokelwe ukumelela;
representative sampling;;indlela yokuqoka okokumelela;
research;;ucwaningo;
research and development;;ucwaningo nentuthuko;
research design                                                                                                              ;;ukwakheka kohlelo locwaningo;
research findings;;imiphumela yocwaningo/okutholwe ucwaningo;
research method;;indlelakwenza yocwaningo;
research methodology ;;umkhakha wezindlela zocwaningo/umkhakha wezindlelakwenza zocwningo;
research misconduct;;ukwephula izimiso zocwaningo;
research problem;;isisusa socwaningo;
research procedure;;inqubo yocwaningo;
research proposal;;isihlongozo socwaningo;
research purpose;;inhloso yocwaningo;
research question;;umbuzo wocwaningo;
research report;;umbiko wocwaningo;
research topic;;isihloko socwaningo;
researcher;;umcwaningi;
researcher skills;;amakhono omcwaningi;
respondent;;ophendulayo;
response rate ;;izinga lokuphendula;
rigor ;;izingabunjalo lokuqaphela;
robustness ;;impilonde yocwaningo;
role conflict;;ukungqubuzana (ngokweqhaza);
role ethics;;inqubonhle ngokweqhaza;
samples;;okuqokiwe/amasampula;
sampling;;ukuqoka/ukwakha isampula;
sampling error;;iphutha elikokuqokiwe/elikokusampuliwe;
sampling frame;;uhlaka lokuqoka/lokusampula;
sampling methods;;izindlelakwenza zokuqoka/zokusampula;
sampling strategies;;amasu okuqoka/okusampula;
sampling technique;;iqhinga lokuqoka/lokusampula;
saturation;;imiphumela yocwaningo egida ndawonye;
scope of work;;umklamo wocwaningo;
search words;;inkombamthombo/inkombamnyombo;
secondary sources;;imithombo eyimisebenzi yabanye/imithombo eyengeziwe;
selection bias;;ukukhetha ngokuchema;
selection of participants;;ukukhethwa kwababambiqhaza;
selective observation ;;ukuqaphela ngokukhetha;
shortcomings;;izingqinamba/izithiyo;
significant result;;imiphumela ebalulekile;
simple and multiple regressions;;uhlaziyobudlelwano obuqondile nobumbaxa;
simple random sampling;;ukuqoka ngokuwola okuqondile;
simulation ;;isingakwenza;
skewed;;okwedusayo;
snowball sampling ;;ukuqoka okunikezelanayo;
social constructivist worldview;;indlelakubuka ngeso lomphakathi;
social networks;;izinkundla zokuxhumana;
social research;;ucwaningo ngenhlalokuphila;
social theories ;;izinjulalwazi ngenhlalokuphila;
sources of research topics;;imithombo yezihloko zocwaningo;
specific;;okucacile;
specific note;;iphuzu elicacile;
specific objective;;injongo ecacile;
sponsored programs information network;;izinhlelo zobuchwepheshe ezixhasiwe;
sponsored research;;ucwaningo oluxhasiwe;
stability;;uzinzo;
standard deviation;;ifomula i-standard deviation;
standardization ;;ukuhlelemba;
statement of the problem;;ukuqagula isisusa socwaningo;
statistical analysis ;;uhlaziyo lwezibalomidanti;
statistical control;;ulawulo lwezibalomidanti;
statistical methods;;izindlelakwenza zezibalomidanti;
statistical tables;;amathebhula ezibalomidanti;
statistical tools;;izinsiza zezibalomidanti;
strategy of inquiry;;isukucwaninga;
stratification ;;uhlelomikhakhakha;
stratified sampling;;ukuqoka ngokohlelomikhakha/ ukusampula ngokohlelomikhakha;
strengths of associations;;izingabudlelwano;
student t-test;;isivivinyo sabafundi i-t ;
sub-groups;;iqoqwana;
subjectivity;;umbono wakho;
submission;;isethulo;
subsample ;;isampulana/ okuqokiwe okuncane;
subtitle;;isihlokwana;
survey design;;umumo kwesaveyi;
survey research;;ucwaningo lwesaveyi;
systematic bias ;;ukuchema okuhlelekile;
systematic sampling;;ukuqoka ngendlela ehlelekile;
table of content;;uhlu lokuqukethwe;
target population;;okucwaningwayo;
teaming agreement;;isivumelwano sokubambisana;
techniques;;amaqhinga;
telephone interviewing;;ukubuza imibuzo ngocingo;
telephone surveys;;isaveyi ngocingo;
telescoping;;ubungcuphe bomlandomubiko;
thematic analysis;;uhlaziyo ngokwengqikithi/ ngokwendikimba;
theoretical framework;;injulalwazi esetshenzisiwe;
theoretical models;;injulalwazi eyinsuselakuyo;
theory;;injulalwazi;
time framework;;isikhathi esinqunyiwe;
time series ;;ukwelamana/ukulandelana kwezikhathi;
title page;;ikhasi lesihloko;
transfer bias;;ukudlulisa ngokuchema;
trend samples ;;ukuqoka ngezikhathi ezingafani;
trends;;izindlelakwenzeka ;
triangulation;;indlelangxube;
two-tailed test ;;isivivinyo esimbaxambili;
typologies;;ukwehlukanisa ngokwezinhlobo;
typology ;;uhlobo;
unbiased ;;ukungachemi;
undimensionality;;okumgudumunye;
unit of analysis ;;okuhlaziywayo;
univariate analysis ;;ukuhlaziya ngevariyebhuli eyodwa;
unobstructive;;okungavimbeli;
validation;;ukuqinisekisa;
variable ;;ivariyebhuli;
variance ;;incezuko;
verbatim transcript;;ukuqopha njengoba kushiwo;
voice recorder;;isiqophamazwi;
voluntary participation;;ukubamba iqhaza ngokuthanda;
weakness;;iphutha;
web of belief;;indidiyelo yenkolelo;
weighted score ;;inani eliqinisekisiwe;
weighting ;;ukuqinisekisa;
wondering about;;ukuninga;
word association;;ukuhlobanisa amagama;
word tables;;ithebula lamagama;
world history;;umlando womhlaba;
world view ;;indlelakubuka;
z score ;;inani lika-z/i-z score;
z test ;;isivivinyo sika-z/i-z test;
